119,75,2.57,
50,116,66,2.04,
127,517,390,16.00,
163,610,447,17.82,
73,439,366,16.60,
52,407,355,16.84,
52,406,354,16.79,
40,
44,119,75,2.57,
50,116,66,2.04,
127,517,390,16.00,
163,610,447,17.82,
73,439,366,16.60,
52,407,355,16.84,
52,406,354,16.79,
52,407,355,16.84,
52,407,355,16.84,
52,407,355,16.84,
52,407,355,16.84,
52,407,355,16.84,
52,406,354,16.79,
52,407,355,16.84,
52,407,355,16.84,
52,407,355,16.84,
52,407,355,16.84,
52,406,354,16.79,
52,406,354,16.79,
52,407,355,16.84,
52,407,355,16.84,
52,407,355,16.84,
52,407,355,16.84,
52,407,355,16.84,
52,407,355,16.84,
52,407,355,16.84,
52,407,355,16.84,
53,407,354,16.75,
52,407,355,16.84,
52,407,355,16.84,
53,407,354,16.75