7.50,
,84,2.86,
27,60,33,0.99,
102,320,218,8.08,
96,313,217,8.18,
31,194,163,7.45,
31,194,163,7.45,
31,195,164,7.50,
31,195,164,7.50,
31,195,164,7.50,
30,195,165,7.60,
30,195,165,7.60,
30,194,164,7.54,
31,195,164,7.50,
30,195,165,7.60,
30,194,164,7.54,
30,195,165,7.60,
31,195,164,7.50,
30,195,165,7.60,
31,195,164,7.50,
30,195,165,7.60,
31,195,164,7.50,
31,195,164,7.50,
31,195,164,7.50,
31,194,163,7.45,
31,194,163,7.45,
31,195,164,7.50,
31,195,164,7.50,
31,195,164,7.50,
31,195,164,7.50,
31,195,164,7.50,
31,195,164,7.50,
31,194,163,7.45