0,
95,841,746,36.00,
94,841,747,36.09,
94,842,748,36.15,
93,842,749,36.25,
94,840,746,36.04,
,
94,844,750,36.26,
115,873,758,35.80,
95,841,746,36.00,
94,841,747,36.09,
94,842,748,36.15,
93,842,749,36.25,
94,840,746,36.04,
94,841,747,36.09,
93,840,747,36.14,
94,841,747,36.09,
93,841,748,36.19,
93,841,748,36.19,
94,841,747,36.09,
94,842,748,36.15,
94,841,747,36.09,
94,841,747,36.09,
93,841,748,36.19,
94,840,746,36.04,
94,840,746,36.04,
94,839,745,35.99,
93,840,747,36.14,
93,841,748,36.19,
93,840,747,36.14,
93,841,748,36.19,
93,840,747,36.14,
94,841,747,36.09,
93,840,747,36.14,
94,840,746,36.04,
93,840,747,36.14,
94,840,746,36.04,
93,840,747,36.14